Time (sec),filt465,filt405
198.0550349,151.1521053,51.48824564
198.1179494,153.4692904,51.34329892
198.1808641,155.0616091,51.28414333
198.2437787,155.3671298,51.35255037
198.3066931,155.4496592,51.54106156
198.3696076,156.4159292,51.76448881
198.4325223,157.3470384,51.86674291
198.4954369,156.8284732,51.75264163
198.5583513,155.9160846,51.41628492
198.6212658,156.3238694,51.04182985
198.6841805,157.4325969,50.91503299
198.7470951,157.826336,51.06785752
198.8100097,157.8019121,51.37835829
198.8729243,158.792608,51.65290151
198.9358387,161.4919426,51.66692011
198.9987533,164.0288314,51.51995891
199.0616679,163.2441289,51.48505783
199.1245825,159.3968108,51.5840071
199.1874969,156.0398927,51.66395041
199.2504115,155.0441765,51.65000537
199.3133261,155.1392734,51.54192548
199.3762407,155.2783175,51.35506411
199.4391551,155.5723908,51.26970055
199.5020697,156.2205164,51.39414257
199.5649843,156.3789716,51.60765109
199.6278989,155.0160989,51.6537539
199.6908135,152.2837549,51.41282523
199.7537281,149.5065848,51.18417516
199.8166425,148.3277495,51.34516253
199.8795571,149.1658471,51.77530537
199.9424717,152.1708281,52.01228777
200.0053863,157.5321962,51.95499637
200.0683007,164.4025512,51.78597737
200.1312153,170.1434338,51.69409004
200.1941299,171.7455441,51.75153458
200.2570445,168.6249075,51.83100214
200.3199589,162.4591963,51.84488374
200.3828735,155.8565372,51.82934251
200.4457881,151.2387617,51.80364364
200.5087027,149.6403497,51.74132207
200.5716174,150.1250034,51.68655688
200.6345319,150.9875105,51.63659784
200.6974463,151.1811094,51.44502218
200.7603609,150.8199377,51.16850328
200.8232756,150.0296732,51.07250157
200.8861901,148.3408125,51.20066786
200.9491045,145.6193426,51.36944354
201.0120191,143.1155625,51.42959976
201.0749338,142.6628305,51.38504324
201.1378483,143.8327286,51.27698997
201.200763,144.5757791,51.15592493
201.2636775,143.5486777,51.1726002
201.326592,141.201746,51.37938095
201.3895065,139.1733382,51.64754714
201.4524212,138.5746938,51.78165326
201.5153357,138.9793835,51.73315485
201.5782502,139.6892181,51.5554211
201.6411647,140.3533551,51.33927048
201.7040794,140.3269919,51.19792777
201.7669939,139.3969383,51.14742302
201.8299084,138.3109636,51.18264956
201.8928229,137.9875352,51.27073841
201.9557376,138.5876087,51.34472661
202.0186521,139.5833166,51.35177933
202.0815668,139.9693461,51.29560135
202.1444814,139.0144674,51.23213738
202.2073958,136.9680022,51.25353224
202.2703104,135.0869746,51.34031065
202.333225,134.3803926,51.44707383
202.3961396,134.4883744,51.47025838
202.459054,134.6492477,51.38591502
202.5219686,134.1137971,51.37879113
202.5848832,132.9182233,51.51416021
202.6477978,131.8233376,51.64328094
202.7107124,131.1543762,51.68948076
202.773627,130.6735269,51.69947699
202.8365414,130.1845014,51.68206957
202.899456,129.6734124,51.60633059
202.9623706,129.7374253,51.4036318
203.0252852,130.9275075,51.12915654
203.0881996,133.036487,51.03713699
203.1511142,135.1271514,51.21334306
203.2140288,135.9650944,51.48097126
203.2769434,134.8694926,51.59245348
203.3398578,132.6370801,51.49363176
203.4027724,130.9200833,51.33279339
203.465687,130.4200383,51.268026
203.5286016,131.0560253,51.28021478
203.5915163,132.2697515,51.24289533
203.6544308,132.6701828,51.18190032
203.7173452,131.4124833,51.20823752
203.7802598,129.5549831,51.28392803
203.8431745,129.1832282,51.31755459
203.906089,131.0428729,51.35129968
203.9690034,133.6598687,51.48480062
204.031918,135.0422289,51.55961237
204.0948327,134.98775,51.45469444
204.1577472,134.8691285,51.33089814
204.2206619,135.4705172,51.34889572
204.2835764,136.2703239,51.45929526
204.3464909,136.4264849,51.51595832
204.4094054,135.9123363,51.43469923
204.4723201,135.1686244,51.289901
204.5352346,133.9427411,51.32466818
204.5981491,132.0337644,51.59211952
204.6610636,130.1527919,51.87754291
204.7239783,128.9388364,52.02281853
204.7868928,128.3373289,52.02193624
204.8498073,128.0963149,51.91258751
204.9127218,128.007995,51.80897421
204.9756365,127.9486185,51.81228369
205.038551,127.5641493,51.86225018
205.1014657,126.4236792,51.85231299
205.1643803,125.2435778,51.79516952
205.2272947,125.4503138,51.78425189
205.2902092,126.9008253,51.78223476
205.3531239,127.8431412,51.66274398
205.4160385,127.1943878,51.52137546
205.4789529,125.7231406,51.50666842
205.5418674,125.1529394,51.54964233
205.6047821,126.7407673,51.54086325
205.6676967,130.6950305,51.50879376
205.7306111,135.2818788,51.49873185
205.7935256,137.5523558,51.46762472
205.8564403,136.1927099,51.44308506
205.9193549,132.7786386,51.43114968
205.9822695,130.0435407,51.3670703
206.0451841,129.4492654,51.26540214
206.1080985,131.1758313,51.20261268
206.1710131,134.9360696,51.30354399
206.2339277,139.4476654,51.46273959
206.2968423,142.1804345,51.44623137
206.3597567,141.3487317,51.27339186
206.4226713,137.6419596,51.11775863
206.4855859,133.9468817,51.10428587
206.5485005,133.1729168,51.23040358
206.6114151,135.6189477,51.39854029
206.6743297,139.0736002,51.41055217
206.7372441,140.7688275,51.23706488
206.8001587,139.4726439,51.13295985
206.8630733,136.6906724,51.25178293
206.9259879,134.6314121,51.45386168
206.9889023,133.6198405,51.49913926
207.0518169,132.9492958,51.31245715
207.1147316,132.4245716,51.14193162
207.1776461,132.6751475,51.24127424
207.2405605,134.1760177,51.46416933
207.3034751,136.3980719,51.53284327
207.3663898,138.2984274,51.47094863
207.4293043,139.3208318,51.38805651
207.492219,139.4055604,51.34617549
207.5551335,138.4371125,51.30933218
207.618048,137.0568883,51.23319047
207.6809625,136.088744,51.2576674
207.7438772,135.3742411,51.40435024
207.8067917,134.7893554,51.49816404
207.8697062,134.8062126,51.43035745
207.9326207,135.9163896,51.25954399
207.9955354,137.8729432,51.05507993
208.0584499,139.550137,50.9157708
208.1213646,140.5940111,50.87038468
208.1842792,141.8971014,50.91063963
208.2471936,143.6604691,51.04016787
208.3101081,144.7582973,51.21027333
208.3730228,144.4940314,51.30117759
208.4359374,143.6173436,51.29372986
208.4988518,143.8840944,51.26969346
208.5617663,146.0623656,51.29851346
208.624681,148.9365853,51.38345753
208.6875956,150.6808021,51.40876484
208.75051,150.4357579,51.3318892
208.8134245,148.5352123,51.21895533
208.8763392,145.7928447,51.20879722
208.9392538,142.9777757,51.3441684
209.0021684,140.6559768,51.56096106
209.065083,139.1233495,51.82842097
209.1279974,138.4947255,52.02391376
209.190912,138.5178576,52.0092634
209.2538266,139.4047115,51.79662288
209.3167412,141.6775579,51.52974055
209.3796556,144.5586361,51.42455494
209.4425702,146.2239394,51.4953696
209.5054848,146.0575784,51.63049625
209.5683994,144.4844419,51.63764498
209.6313138,142.5266126,51.44322816
209.6942284,141.5581951,51.2284457
